name,price,description,inventory,user_id,order_id
Arcturus,294982.9474043662,"""It works on my machine"" always holds true for Chuck Norris.",9,1,1
Rigil Kentaurus,970405.7522761726,Chuck Norris' preferred IDE is hexedit.,2,2,2
Polaris,523261.90405146655,Chuck Norris writes code that optimizes itself.,7,3,3
Luyten 726-8B,447577.8611766478,No statement can catch the ChuckNorrisException.,4,4,4
Vega,17671.495969387455,Chuck Norris doesn't have performance bottlenecks. He just makes the universe wait its turn.,2,5,5
Ross 248,866263.854060596,Chuck Norris hosting is 101% uptime guaranteed.,7,6,6
Procyon A,848687.0380829405,"Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick().",10,7,7
Luyten 726-8A,770207.4524382815,Chuck Norris can unit test an entire application with a single assert.,1,8,8
Mahasim,608467.5966306373,"All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.",1,9,9
Sirius B,345492.4101562926,"Chuck Norris doesn't bug hunt, as that signifies a probability of failure. He goes bug killing.",9,10,10
Umbriel,98893.01820396968,"There is no Esc key on Chuck Norris' keyboard, because no one escapes Chuck Norris.",8,1,1
Rhea,801759.9377265587,Chuck Norris finished World of Warcraft.,5,2,2
Io,453147.56292270636,Chuck Norris rewrote the Google search engine from scratch.,1,3,3
Phobos,875529.0926364446,Chuck Norris programs do not accept input.,8,4,4
Moon,586550.094432212,Chuck Norris can solve the Towers of Hanoi in one move.,9,5,5
Proteus,377250.8343009419,Chuck Norris can't test for equality because he has no equal.,9,6,6
Ganymede,9528.342616186399,There is nothing regular about Chuck Norris' expressions.,9,7,7
Dione,766882.4423239968,"For Chuck Norris, NP-Hard = O(1).",8,8,8
Europa,489583.9508622204,"Chuck Norris doesn't need a java compiler, he goes straight to .war",5,9,9
Callisto,987109.9196160597,Chuck Norris can binary search unsorted data.,8,10,10
Oberon,62514.324999553464,Chuck Norris breaks RSA 128-bit encrypted codes in milliseconds.,8,11,11
Tethys,869887.1352957656,Chuck Norris' beard is immutable.,5,12,12
Ariel,45830.94337787461,Chuck Norris compresses his files by doing a flying round house kick to the hard drive.,7,13,13
Deimos,272345.9762591873,The class object inherits from Chuck Norris.,10,14,14
Hyperion,413679.41837889625,Chuck Norris can recite Ï€. Backwards.,1,15,15
